Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
DE LGBM,0.8055555555555556,0.7741935483870968,0.8727272727272727,0.7358490566037735,0.8727272727272727,0.12727272727272726,0.2641509433962264,0.7358490566037735,0.8205128205128205,0.8147512864493993
PSO LGBM,0.8148148148148148,0.8070175438596491,0.8363636363636363,0.7924528301886793,0.8363636363636363,0.16363636363636364,0.20754716981132076,0.7924528301886793,0.8214285714285714,0.7646655231560893
WOA LGBM,0.7777777777777778,0.7719298245614035,0.8,0.7547169811320755,0.8,0.2,0.24528301886792453,0.7547169811320755,0.7857142857142857,0.7481989708404804
HHO LGBM,0.7685185185185185,0.7586206896551724,0.8,0.7358490566037735,0.8,0.2,0.2641509433962264,0.7358490566037735,0.7787610619469026,0.7375643224699828
SMA LGBM,0.7777777777777778,0.7719298245614035,0.8,0.7547169811320755,0.8,0.2,0.24528301886792453,0.7547169811320755,0.7857142857142857,0.7481989708404804
FGOA LGBM,0.7407407407407407,0.7755102040816326,0.6909090909090909,0.7924528301886793,0.6909090909090909,0.3090909090909091,0.20754716981132076,0.7924528301886793,0.7307692307692307,0.6737564322469984
original CatBoost,0.7413793103448276,0.7142857142857143,0.8333333333333334,0.6428571428571429,0.8333333333333334,0.16666666666666666,0.35714285714285715,0.6428571428571429,0.7692307692307693,0.6499999999999999
GA CatBoost,0.8240740740740741,0.8,0.8727272727272727,0.7735849056603774,0.8727272727272727,0.12727272727272726,0.22641509433962265,0.7735849056603774,0.8347826086956521,0.742024013722127
DE CatBoost,0.8425925925925926,0.796875,0.9272727272727272,0.7547169811320755,0.9272727272727272,0.07272727272727272,0.24528301886792453,0.7547169811320755,0.8571428571428571,0.7578044596912521
PSO CatBoost,0.8240740740740741,0.8,0.8727272727272727,0.7735849056603774,0.8727272727272727,0.12727272727272726,0.22641509433962265,0.7735849056603774,0.8347826086956521,0.742024013722127
WOA CatBoost,0.8611111111111112,0.8333333333333334,0.9090909090909091,0.8113207547169812,0.9090909090909091,0.09090909090909091,0.18867924528301888,0.8113207547169812,0.8695652173913043,0.7667238421955405
HHO CatBoost,0.8518518518518519,0.8305084745762712,0.8909090909090909,0.8113207547169812,0.8909090909090909,0.10909090909090909,0.18867924528301888,0.8113207547169812,0.8596491228070176,0.7680960548885076
SMA CatBoost,0.8518518518518519,0.819672131147541,0.9090909090909091,0.7924528301886793,0.9090909090909091,0.09090909090909091,0.20754716981132076,0.7924528301886793,0.8620689655172413,0.7475128644939966
FGOA CatBoost,0.75,0.75,0.7636363636363637,0.7358490566037735,0.7636363636363637,0.23636363636363636,0.2641509433962264,0.7358490566037735,0.7567567567567568,0.6627787307032591
